Raccoon name: George #6
Average location: 591189.034454322, 4504604.085012094
Distance traveled: 54787810.7078088
Average energy level: 563.6214285714285
Raccoon end state: George number 6 died from starvation

Date	Time	X	Y	Asleep Flag	Behavior Mode	Distance Traveled
6/19/2008	7:00 AM	591112.752918467	4504620.85001397	False	RiskySearchModifier	3913508.0970955035
6/19/2008	8:00 AM	591159.738875885	4504583.53621216	False	RiskyForageModifier	3913423.797336275
6/19/2008	8:00 AM	591177.048458523	4504546.70960308	False	RiskyForageModifier	3913369.6611445565
6/19/2008	9:00 AM	591184.067274814	4504531.77688002	False	RiskyForageModifier	3913347.7096052063
6/19/2008	9:00 AM	591192.036321619	4504547.28129659	False	RiskyForageModifier	3913355.2449749713
6/19/2008	10:00 AM	591210.13894318	4504582.5013916	False	RiskyForageModifier	3913372.36244842
6/19/2008	11:00 AM	591257.350537335	4504619.52929159	False	RiskyForageModifier	3913362.1787542547
6/19/2008	11:00 AM	591307.574400613	4504641.73534564	False	RiskyForageModifier	3913334.160945027
6/19/2008	12:00 PM	591303.184361127	4504639.79432702	False	RiskyForageModifier	3913336.6099658925
6/19/2008	1:00 PM	591243.186822335	4504639.25087614	False	RiskyForageModifier	3913396.0640538046
6/19/2008	2:00 PM	591183.256748391	4504636.35497609	False	RiskyForageModifier	3913453.098227699
6/19/2008	3:00 PM	591123.432415996	4504631.76702955	False	RiskyForageModifier	3913508.334613554
6/19/2008	4:00 PM	591121.339525596	4504571.80354225	False	RiskyForageModifier	3913450.4640166536
